UID	English corrected	Character	CharMood	Duration
Intro01_Commentateur_01	<Comentarista> Es extraordinario. Nuestro campeón ha subido al podio internacional sin sudar. ¡Una gran victoria para la academia y una gran victoria para el director Bird y su equipo!	Commentateur	Happy	13
Intro02_Patrick_01	<Patrick> Pensé que podría encontrarte aquí...	Patrick	Neutral	1
Intro02_Jade_02	<Jade> A él le habría encantado este cielo. Todavía no puedo creer que no esté aquí. 	Jade	Badmood	4
Intro02_Patrick_03	<Patrick> Su sueño es nuestro ahora. Sabes que he tratado de mantener la Academia en funcionamiento desde que murió Birdy. Pero el castillo se está deteriorando demasiado y vamos a tener que mudarnos. Es un trabajo demasiado grande para un solo hombre. No tengo el empuje de Birdy. 	Patrick	Neutral	15
Intro02_Jade_04	<Jade> Patrick, si estás preguntando... no creo...	Jade	Badmood	3
Intro02_Patrick_05	<Patrick> No tienes que responder ahora. El avión sale en tres horas.	Patrick	Neutral	3
Intro02_Jade_06	<Jade> ¿Avión?	Jade	Neutral	1
Intro02_Patrick_07	<Patrick> Tengo dos billetes para Italia. ¿Conoces la Toscana?	Patrick	Neutral	3
Intro02_Jade_08	<Jade> Si quieres que te ayude, tendrás que dejar de ser tan misterioso.	Jade	Neutral	3
Intro02_Patrick_09	<Patrick> La Academia Sycamore se está mudando. Necesito un socio con credenciales para llevarla al más alto nivel. Creo que tú eres ese socio. 	Patrick	Neutral	8
Intro02_Jade_10	<Jade> ¡Quiero un asiento en la ventanilla!	Jade	Happy	1
Intro03_Flora_01	Vale, sé que siempre llego tarde, pero no voy a arrastrarme. Algunas cosas llevan tiempo, eso es todo. Y por una vez no es mi culpa. Puedes hacer tu propia opinión pronto. Sé que no debería ir tan rápido, pero si te hubieran elegido para entrar en la prestigiosa Academia Sycamore, harías lo mismo. Es lo más bonito que me ha pasado, una historia increíble que me encantaría compartir contigo. Pero, como todas mis historias, tiene un comienzo bastante accidentado, así que agárrense el sombrero. 	Flora	Neutral	31
Intro03_Flora_02	Vale... he conocido cosas peores. Pero esta vez, llego tarde y no me equivoco.	Flora	Neutral	3
Intro03_Elsys_03	<Elsys> Oh oh, creo que alguien me necesita.	Elsys	Neutral	
Intro03_Flora_04	¿Quién ha dicho eso? ¿Hay alguien ahí?	Flora	Neutral	3
