UID	English Text V2	Character	CharMood	
W0FloSavStart_01	¡Rápido! Hay una chica en peligro. Va a caerse en el barranco. ¡Sálvala! (Pulsa la barra espaciadora para continuar)	Elsys	Neutral	
W0FloSavStart_02	Usa las flechas de dirección para moverte. Pulsa las flechas derecha e izquierda para ir a la derecha y a la izquierda, y pulsa la flecha arriba varias veces para ir más rápido. Utiliza la flecha hacia abajo del mismo modo para ir más despacio. 	Elsys	Neutral	
W0FloSavStart_03	Si estás atascada y no sabes qué hacer, puedes ver tus objetivos en tu cuaderno durante la aventura. Primero pulsa "N" y luego haz clic en la pestaña Objetivos.	Elsys	Neutral	
W0FloSavStart_04	Ahora, date prisa. No hay un minuto que perder.	Elsys	Neutral	
W0FloSavProx_01	¡La chica está aquí! Cuando aparezca este icono, pulsa la barra espaciadora para realizar la acción.	Elsys	Neutral	
W0FloSavReplay_01	No has salvado a la chica. Inténtalo de nuevo. 	Elsys	Neutral	
W0FloSavGameOver_01	No has salvado a la chica. No puedes seguir sin ella. 	Elsys	Neutral	
W1TueStart_01	He oído que hay un viejo con una tienda de chatarra en el pueblo. Vamos a comprobarlo. 	Elsys	Neutral	
W1TueBrocTalk_01	He oído que hay un viejo con una tienda de chatarra en el pueblo. Vamos a comprobarlo.	Flora	Neutral	
W1TueBrocTalk_02	El establecimiento de Oldmaster no tiene la costumbre de vender baratijas. Nuestra familia ha comerciado con antigüedades durante generaciones; nuestra tienda es un santuario de la historia. Dispensar sabiduría a los oídos perdidos de la juventud decadente es una pérdida de mi tiempo, jovencita.  	Dubouquin	Angry	
W1TueBrocTalk_03	No hay necesidad de ser así, viejo. Sólo estaba preguntando...	Flora	Angry	
W1TueBrocTalk_04	Sin embargo, si tuvieras los medios para comprar este espléndido tesoro... Estos naipes son únicos; tienen una historia fascinante detrás. En su día pertenecieron a...	Dubouquin	Neutral	
W1TueBrocTalk_05	Vale, ¿se acabó la lección de historia? Lo que me interesa es el aquí y el ahora y cuánto quieres por las cartas.	Flora	Happy	
W1TueBrocTalk_06	Es un set de tanta calidad... no podría decir...	Dubouquin	Neutral	
W1TueBrocTalk_07	Sí, pero... ¿cuánto?	Flora	Neutral	
W1TueBrocTalk_08	La artesanía y el dorado son exquisitos...	Dubouquin	Neutral	
W1TueBrocTalk_09	Sí, sí, ¡muy bonito! ¿Cuánto cuesta?	Flora	Neutral	
W1TueBrocTalk_10	Observa la audacia en la representación de las figuras...	Dubouquin	Neutral	
W1TueBrocTalk_11	¿Lo haces a propósito o soy tu primer cliente este año? Dígame: ¿cuánto cuesta esta vigesimotercera maravilla del mundo?	Flora	Badmood	
W1TueBrocTalk_12	28.000 créditos	Dubouquin	Happy	
W1TueBrocTalk_13	¿Qué? ¿Por una baraja de cartas?	Flora	Angry	
W1TueBrocTalk_14	(Suspira) ¡La ignorancia de la juventud!	Dubouquin	Badmood	
W1TueBrocTalk_15	Pero este paquete tiene escrito "Hecho en Taiwan". ¿Por quién me tomas? ¿Una turista? Me voy.	Flora	Angry	
W1TueBrocTalk_16	Espera. Podemos llegar a un acuerdo. Hazme un favor y la baraja es tuya. 	Dubouquin	Happy	
W1TueBrocTalk_17	¿Qué tipo de favor?	Flora	Neutral	
W1TueBrocTalk_18	Tengo que recoger un libro que un amigo me dejó en la capilla al norte del pueblo. Aquí hay un mapa de la zona. La capilla está marcada con una cruz. Trae el libro de vuelta antes de la hora de cierre y te daré lo que quieres. 	Dubouquin	Neutral	
W1TueBrocTalk_19	Muy bien. ¿A qué hora cierras?	Flora	Neutral	
W1TueBrocTalk_20	En diez minutos. Ya estás tardando, jovencita. 	Dubouquin	Happy	
W1TueBrocTalk_21	¡Rápido! No hay un minuto que perder. Mira bien tu mapa. Lo encontrarás en tu inventario. Para acceder a tu inventario, pulsa el botón l. Recuerda que la capilla está marcada con una cruz. 	Elsys	Neutral	
W1TueBrocTalk2_01	El tiempo y la marea no esperan a nadie. ¡Deprisa, deprisa!	Dubouquin	Neutral	
