SymbolID	SubsetID	Text	Character
VoixOff_00		El curso empezó bien. Me llevaba bien con todos. Estaba Miguel, que huía cada vez que yo aparecía. Me imaginé que era tímido. Y luego Carroll, que tenía su propia visión del mundo, totalmente alocada. También estaba Aurélie, que era una auténtica vividora; nos parecíamos en algo. Y luego Samuel, que pasaba más tiempo escuchando música que entrenando, pero era mayor y más tranquilo y totalmente encantador. Éramos el equipo perfecto. Pero sabíamos que la presión de la competición iba a estropear las cosas algún día. 	Flora
VoixOff_01		Se acercaba el gran día. Iba a participar en mi primera competición. Y confieso que estaba petrificada. El equipo australiano llegó temprano esa mañana, y les hice una visita secreta durante los preparativos. Lo que vi no me tranquilizó. Eran hábiles y disciplinados. Empecé a lamentar no haberme entrenado más seriamente. En el lado positivo, me había vuelto imbatible a las cartas. O todos me dejaban ganar; no sé cuál de las dos cosas. Para relajarme, iba a la biblioteca a leer. Fuera hacía mucho calor y el frescor de aquella misteriosa salita me calmaba. Por desgracia, mi tranquilidad no iba a durar. 	Flora
VoixOff_02		El gran día había llegado. Por fin aprendimos lo que era el estrés importante y cómo gestionarlo. Nuestro futuro pendía de un hilo. Para que la aventura continuara, ¡teníamos que ganar!	Flora
VoixOff_03		Nos esperaba otra semana de preparación para la competición. Llegaba la francesa Academia Pinewood. Me sentía preparada. Nuestra última victoria me había dado confianza en mis capacidades. Samuel se burlaba de todos los artículos de los periódicos italianos que me describían como una futura campeona internacional. Pero me hice la remolona. Al menos creo que por fin estaba aprendiendo a hacerlo. Lo más importante eran los resultados del equipo, no sólo por el deporte sino también por las sinceras y cálidas amistades que había entablado en apenas un mes allí. Habíamos pasado grandes momentos juntos e incluso el violín de Aurélie había dejado de molestarme. Los sentimientos eran maravillosos, eran los momentos más bonitos de mi vida. 	Flora
VoixOff_04		Ese día, nadie podía prever el extraño desafío que nos esperaba. Me sentía lejos de la cima. El comienzo de la semana había sido duro y echaba mucho de menos a mis padres. Pero ese día quedaría grabado en mi memoria.	Flora
VoixOff_05		El día de nuestra segunda competición se acercaba. Esta vez, decidimos comportarnos como verdaderos competidores. Nada de compras, ni juegos de cartas, ni violín, ni guirnaldas, ni radio, ni Internet. Todo el mundo estaba totalmente concentrado en el entrenamiento, en la preparación física y mental. Yo, personalmente, quería asegurarme de que mi teoría estaba a la altura. Ni siquiera una bomba podría haber alterado mi concentración. A menos que esa bomba fuera un joven... 	Flora
VoixOff_06		Me moría de ganas de empezar con la academia francesa. Nos debíamos a nosotros mismos estar a la altura de nuestra primera gran actuación. En retrospectiva, me pregunto si no estaba dispuesta a demostrarle a mi admirador secreto de lo que era capaz, ya que probablemente venía de la Academia Pinewood. Si realmente le impresionaba, podría dar la cara. 	Flora
VoixOff_07		Dejamos Italia y su calor por el encanto nevado de Alsacia. Era la primera vez que salía de mi país y por momentos sentí bastante morriña. No dejaba de preguntarme si había presionado demasiado a Jade para que aceptara el reto. La Academia Beachwood tenía fama de ser la mejor, invicta hasta el día de hoy. ¿Tanta confianza tenía ella en nuestras capacidades? Tenía miedo de decepcionarla. 	Flora
VoixOff_08		No podía acostumbrarme a mi nuevo entorno. El pueblo era increíble, la academia también. Pero el duro invierno hacía que el entrenamiento fuera duro. Empecé a comprender por qué su equipo era tan duro. Entrenar en condiciones tan extremas aumentaba su umbral de dolor. Mi estado de forma cayó en picado y me volví débil y raquítica. Afortunadamente, el joven director de la Academia Beachwood estaba allí para escuchar mis problemas. Su escuela podía ser intimidante y austera, pero su personalidad era todo lo contrario. Era inesperadamente amable y gentil, atento y receptivo. Comprendía las dificultades y el reto que me esperaba. Fue conmovedor que me escuchara con tanta paciencia. Fueron los únicos momentos en los que no sentí el frío intenso. Por desgracia, Jade se enteró de nuestra amistad y montó en cólera. Sólo descubrí el motivo más tarde. 	Flora
VoixOff_09		Me molestó que Jade y yo hubiéramos discutido. Había prometido dejar la academia y no me gustaba faltar a mi palabra, aunque fuera una promesa hecha con rabia. Los demás alumnos apenas mencionaron el episodio. Había anunciado mi intención de ingresar en Beachwood y se sentían traicionados. Podía entenderlo. Estaba perdida, atrapada entre el deseo de quedarme con mis amigos y mi orgullo de no ceder ante Jade. Confieso que, en secreto, estaba cayendo bajo los encantos de Esteban. Mi feroz independencia y mi fría actitud se derretían ante su contacto. Y la idea de quedarme con él, incluso en este mundo invernal, me atraía especialmente. Me di cuenta de que Jade estaba trabajando en mí para que cambiara de opinión. Una simple disculpa podría haber sido suficiente. Pero ella era tan terca y orgullosa como yo. 	Flora
VoixOff_10		Por primera vez, me sentí triste ante la proximidad de una competición. Era la última que haría con mis amigos. Tenía la sensación de haberlos traicionado y en parte era cierto. ¿Por qué estaba actuando así? ¿Orgullo? ¿Amor? ¿Ambición? En cualquier caso, no era por amistad y empecé a odiarme. Esta iba a ser una dura competición. 	Flora
VoixOff_11		Había pasado un mes desde nuestra última competición y, aparte de Carroll, nadie me hablaba. ¿Cómo podía hacerles entender que esa no era la mejor manera de tratarme? Si querían que me quedara, necesitaba que me lo dijeran directamente. El trato silencioso sólo me hacía querer irme. Incluso ahora, me resulta muy difícil recordar esa semana de Navidad. Hay momentos en tu vida que es mejor olvidar. Como los que voy a relatar ahora. 	Flora
VoixOff_12		Ese día, estaba haciendo las maletas para la gran partida a la Academia Beachwood. Carroll me estaba ayudando y apoyando en el trauma. Fue más duro y estresante que cualquier competición. Era el momento: Iba a decir adiós a la Academia Sycamore. La próxima vez que compitiera, mis viejos enemigos serían mis nuevos compañeros, y mis viejos amigos serían mis nuevos enemigos.	Flora
VoixOff_13		¿Cómo pude dejarme manipular tanto? Desde que descubrí la verdadera naturaleza de Esteban, no pude pegar ojo. Me sentía avergonzada y humillada. Empecé a entrenar con furia y determinación. Esta vez, iba a humillarlo a él y a su academia. Pero tendría que esperar. Era justo antes de Navidad y quería el perdón.  	Flora
VoixOff_14		Han pasado tres meses desde nuestra humillante derrota. La prensa había desviado por fin su atención hacia otra parte. Nos habíamos retirado del mundo y nos habíamos acercado a la naturaleza y a los caballos. Me sentía muy bien. Mi ira se había disipado en esta calma. Los paseos por la montaña y el parloteo reposado de los arroyos aliviaban mis frustraciones invernales. Sin embargo, para satisfacer mi deseo de venganza, necesitaba más. Empecé a entrenar como una competidora de alto nivel. Nada podía interponerse entre mis objetivos y yo. 	Flora
VoixOff_15		La competición contra la academia de Kiew reavivó un sentimiento desagradable en mí. Me había vuelto de mal genio. Nadie se atrevía a acercarse a mí, y mucho menos a jugar a las cartas conmigo. Era cierto que había mucho en juego. Si perdíamos, se acababa todo, para nosotros y para la Academia Sycamore. Kiew y su equipo eran encantadores con nosotros. Pero no había manera de que nos dejaran ganar. Estaba en juego un puesto en la final. No era un buen momento para hablar conmigo, y algunos lo descubrieron por su cuenta. 	Flora
VoixOff_16		Fui una estúpida al dejar que el estrés de la competición me afectara tanto. Ya habíamos entrenado bastante y las cartas estaban sobre la mesa. Ahora necesitaba tomarme un descanso, pensar en otra cosa, en Miguel por ejemplo. La última tarde que había pasado con él me había emocionado mucho. Su discreción me hacía sentir incómoda, para empezar, pero ese día estaba tan romántico.	Flora
VoixOff_17		¿Qué hay que decir? Estaba en las nubes. Sentía que podía levantar montañas. Mi amor por Miguel y la confianza en mí misma que había adquirido en China convertirían esta competición en un trámite. Al menos, eso es lo que esperaba.	Flora
VoixOff_18		Estábamos llegando al último obstáculo. Esteban y su equipo se presentaron a principios de semana. La gran final iba a tener lugar en terreno neutral, en la Academia Cherry Tree. Por supuesto, me alejé de Esteban, más por su seguridad que por la mía. Mi hora de la venganza estaba cerca. Ahora todo el mundo vería mi talento y lo que era capaz de distraerme con el chantaje. 	Flora
VoixOff_19		Era de esperar. Esteban nunca elegiría medios legítimos para saldar sus cuentas con nosotros. Al forzar el plazo de pago de las deudas de la Academia, había conseguido llevar a Jade a la bancarrota. Las arcas estaban vacías...	Flora
VoixOff_20		Era el día de mi venganza. Mi miedo, mis dudas y mi ira habían desaparecido. Ahora sólo sentía determinación. Pero olvidé demasiado pronto lo peligroso que podía ser Esteban. Había recibido una carta para un encuentro romántico en el campo. Estaba convencida de que era de Miguel y, viendo que la primera prueba empezaba a última hora de la tarde, decidí que un momento de relajación no era ningún crimen. Estuve a punto de perder más que la competición.	Flora
VoixOff_21		Ahora te toca a ti jugar... 	Flora
