SymbolID	SubsetID	Text
VoixOff_00		El dia que conoci al extrano Senor Oldmaster
VoixOff_01		La vispera de mi primera competicion
VoixOff_02		Competicion con la academia australiana
VoixOff_03		La Academia Sycamore alberga la francesa Academia Pinewood
VoixOff_04		Un desafio misterioso
VoixOff_05		Un admirador secreto
VoixOff_06		Competicion con la Academia Pinewood
VoixOff_07		Invierno en el este de Francia
VoixOff_08		El pasado de Jade / Parte 1
VoixOff_09		El pasado de Jade / Parte 2
VoixOff_10		Competicion con el Equipo B de la Academia Beachwood
VoixOff_11		Una semana negra 
VoixOff_12		Un golpe cruel
VoixOff_13		Penitencia navidena
VoixOff_14		Primavera oriental
VoixOff_15		Una tarde junto al fuego
VoixOff_16		Love makeover
VoixOff_17		Competicion con la Academia Cherry Tree / Semi-final
VoixOff_18		Desenlace
VoixOff_19		Problemas de flujo de caja
VoixOff_20		Una posibilidad remota
VoixOff_21		Competicion con la Academia Beachwood / FINAL
