SymbolID	SubsetID	Text
Jade		Jade
Esteban		Esteban
Kiew		Kiew
Spike		Spike
Alexandra		Pippa
Provisor		Director
Deborah		Deborah
Harry		Harry
Patrick		Patrick
Driver		Conductor
Shumi		Shumi
Ginger		Ginger
Wendy		Wendy
Cat		Gato
Veto		Veterinario
Policeman		Policía
Eleve		Alumno
Elsys		Elsys
Commentateur		Comentarista
Julie		Julie
HAR_Civil		Flora
HAR_Cross		Flora
HAR_Dressage		Flora
HAR_Jump		Flora
Horse		Trueno
Flora		Flora
Dubouquin		Oldmaster
Aurelie		Aurélie
Caroll		Carroll
Standardiste		Operador
Samuel		Samuel
Miguel		Miguel
Videur		Bouncer
Ensemble		Together
Daniela		Daniela
MiguelEnd		Miguel
