SymbolID	SubsetID	Text
Weather#1		Semana 1 – Los chubascos hacen que el comienzo de la semana sea malo, pero los cielos se despejarán. El miércoles volverán las nubes y el jueves volverán las lluvias con algunos claros. 
Weather#2		Semana 2 – La semana será por lo general soleada, con algunas nubes previstas para el martes. El miércoles pueden producirse algunos chubascos, así que no olvide de llevar un chubasquero. 
Weather#3		Semana 3 – Nos espera una semana nublada con algunos claros. Sin embargo, las previsiones por satélite anuncian un descenso de las temperaturas para el martes, así como algo de nieve. 
Weather#4		Semana 4 – El comienzo de la semana será frío, con nieve en el horizonte. A mediados de la semana, la situación mejorará, con alguna nube el miércoles. 
Weather#5		Semana 5 – Nos espera una hermosa semana, así que aprovechemos el sol mientras dure. Unas pocas nubes el martes no arruinarán la diversión. Cuidado con los chubascos del jueves. 
Weather#6		Semana 6 – El sol y las nubes jugarán al gato y al ratón esta semana. El lunes y el viernes podrían caer algunos chubascos, así que coge ese gorro de lluvia. 
Horse#1		Semana 1 – Supongo que los amantes de los caballos ya pueden oír el estruendo de los cascos acercándose. El Día del C.I.I está en camino y el Concurso Internacional Interacadémico por fin va a comenzar. Para dar comienzo a la primera ronda, la australiana Academia Eucalyptus, poseedora del trofeo del Pacífico, se enfrenta a la italiana Academia Sycamore. Los Sycamores fueron en su día el orgullo de su antiguo director, Bird, y hoy están dirigidos por la inolvidable ex campeona internacional Jade. 
Horse#2		Semana 2 – La competición se pone al rojo vivo. En la segunda ronda del C.I.I, la Academia Sycamore se enfrentará a la francesa Academia Pinewood. Recordemos que la Pinewood no ha sido derrotado en casa desde hace más de diez años. Pero Pinewood no juega en casa, y la Academia italiana no parece un rival fácil. Un duro cara a cara en perspectiva. 
Horse#3		Semana 3 – Todo está listo para los cuartos de final y un duelo inusual. Los Sycamores de Jade se enfrentarán a la Academia Beachwood de Esteban en Alsacia. Ambos entrenaron en su día en la misma academia, la del difunto Bird, hoy son archienemigos. Aquellos fueron tiempos difíciles para la academia y hoy las aguas turbulentas son profundas. Seguro que hay cierta electricidad en el aire.
Horse#4		Semana 4 – El equipo B de Beachwood se enfrentó a la Academia Sycamore, cuya joven estrella, Flora, realmente brilló. La chica parece estar preparada para la corona de Jade algún día. En las semifinales, los Sycamores se enfrentarán de nuevo a Beachwood, pero esta vez tendrán que enfrentarse a su equipo A, liderado por la formidable Daniella. El duelo es la oportunidad de revancha para Esteban; para Jade, es la oportunidad perfecta para enterrar a su rival. 
Horse#5		Semana 5 – Los Sycamores volvieron dolorosamente a la Tierra con un bache tras esta aplastante derrota. Sin embargo, no todo está perdido. El equipo de Jade debe enfrentarse ahora a la Academia china Cherry Tree de Kiew, que, como saben, está clasificada por encima de Beachwood. Si la Cherry Tree es derrotada, entonces Sycamore pasará a enfrentarse a Beachwood en la final. Si no, el sueño del difunto director Bird muere en el suelo. 
Horse#6		Semana 6 – ¡Jade la Conquistadora! El equipo de Jade realizó una gran remontada para conseguir un puesto en la final contra Beachwood. El Estribo de Oro está ahora a un paso. El enfrentamiento final volverá a enfrentar a Jade con Esteban en un duelo para ajustar cuentas. Todas las miradas estarán puestas en el choque de titanes, ya que Flora se batirá en duelo con Daniella para tratar de llevar a su equipo a la victoria. 
News#1		¿Quién ha dicho que la región tenía escasez de agua? A los que han puesto el grito en el cielo por esta cuestión, les digo: "¡Amigos, nuestras capas acuíferas gozan de buena salud! Nuestra tierra está inundada de agua". Hay nada menos que TRES POZOS alrededor del pueblo. ¿Qué más pruebas necesitan? Y una advertencia al respecto: por favor, dejad de echar vuestras monedas de la suerte en los pozos: no hay deseos y hace que el agua sepa a metal. ¡Qué asco!
News#2		¡Salvemos nuestra CAPILLA! El tiempo y el furioso sol de la Toscana pronto se saldrán con la suya si no actuamos rápido. Envíe sus donaciones a los Amigos de la Capilla. Este mensaje no se aplica, por supuesto, al notoriamente tacaño anticuario Sr. OLDMASTER. Parece que el Sr. Old-Mezquino ha sido visto rebuscando entre los viejos carros de madera de la granja. ¿Qué cree que va a encontrar? ¿Un tesoro enterrado? ¡No me hagas reír!
News#3		"¡La anciana señorita Bat ha perdido a su gato y no sabe qué hacer!" Quizá le resulte familiar la letra de la cancioncilla local. Pero lo que ayer era una simple canción, hoy es una noticia candente. Efectivamente, la señorita Bat ha perdido a su GATO. Así que si alguien lo encuentra, que se ponga de pie y lo cuente. Visto por última vez cerca de la ANTIGUA ESTACIÓN DE TRENES. 
News#4		La señorita Bat perdió a su gato, pero luego lo encontró de nuevo, sentado en el ÁRBOL GIGANTE, cerca del Castillo; el tierno minino era demasiado miedoso para saltar. Sin embargo, la saga continúa: La señorita Bat ha vuelto a perder a su GATO. Así que para todos los nostálgicos del último y emocionante juego del escondite felino, ya sabéis lo que tenéis que hacer. Personalmente, ¡estoy harto de estas historias de gatos peludos! Si por mí fuera, lo clavaría en un mástil y nunca más se perdería. ¿No hay nada más emocionante en este pueblo para escribir? 
News#5		Es un escándalo que nuestra región no sea patrimonio mundial de la UNESCO. No es que no tengamos suficientes grandes monumentos aquí: un TEMPLO CHINO milenario en una colina, al menos TRES BUDAS con cabezas puntiagudas e incluso una sección de la Gran Muralla China, frecuentada por pintorescos CABALLOS SILVESTRES. ¿Cuánta más belleza se puede meter en una región tan pequeña?
News#6		Esta semana nuestro buzón está repleto de cartas de personas que preguntan: ¿Quién es el VIEJO que merodea por nuestros Budas? Bueno, parece que es un anticuario italiano que está buscando algo. "¿Qué?" Os oigo preguntar. ¿Belleza eterna tal vez? ¿Una fortuna de por vida de nuestro legendario VIEJO ÁRBOL MUERTO? ¿O algo más lucrativo? Sea quien sea, señor, siéntase libre de disfrutar de la belleza de la zona pero, por favor, respete nuestro patrimonio y déjelo como lo encontró. 
Erreur#404		La dirección no existe o el servidor no responde. 
