SymbolID	SubsetID	Text
Dictionnary_Article_1		[A-C] (Chanfrin) El chanfrin es la parte delantera de la cabeza del caballo que va desde la frente hasta las fosas nasales. / (Change of rein/Cambio de rienda) El cambio de riendas se refiere al cambio de mano del jinete al controlar la cabeza del caballo, un cambio que hace que el caballo se mueva de derecha a izquierda.
Dictionnary_Article_2		[D-E] (Diagonal pair/Pares diagonales) Los pares diagonales de un caballo se refieren a la combinación de dos patas del caballo en diagonal: el par izquierdo está formado por las patas trasera derecha y delantera izquierda; el par derecho está formado por las patas trasera izquierda y delantera derecha. / (Dressage whip/Fusta de doma) La fusta de doma es una vara más fina y flexible, que es más larga que la fusta, y que se utiliza, como su nombre indica, para la doma de exhibición. 
Dictionnary_Article_3		[F-G] (Fore legs/Patas delanteras) Las patas de la parte delantera del caballo también se denominan patas delanteras, del mismo modo que las patas de la parte trasera se denominan patas traseras. / (Forequarters/Cuartos delanteros) La parte del caballo situada delante del jinete se denomina cuartos delanteros. 
Dictionnary_Article_4		[H-I] (Halter/Cabestro) Un cabestro es un arnés de cuero o de cuerda que se coloca en la cabeza del caballo y se une a un ronzal para atarlo o guiarlo. / (Hind legs/Patas traseras) Las patas de la parte trasera del caballo se denominan patas traseras, del mismo modo que las patas de la parte delantera se denominan patas delanteras. / (Hindquarters/Cuartos traseros) El término "cuartos traseros" se refiere a la parte del caballo situada detrás del jinete / (Hock/Corvejón) El corvejón del caballo es la parte de la pata trasera que se dobla y que corresponde al talón del ser humano.
Dictionnary_Article_5		[J-N] (Kick/Patada) Acción que realiza un caballo cuando se apoya en sus patas delanteras y proyecta enérgicamente sus patas traseras hacia atrás. / (Left pair/Par izquierdo) El par izquierdo es la combinación de las patas traseras derechas y delanteras izquierdas. / (Neck/Cuello) El cuello del caballo es la parte del cuerpo situada entre la cabeza, la crin y el pecho.
Dictionnary_Article_6		[O-R] (Projection/Proyección) La proyección es la acción que consiste en tomar primero apoyo en el suelo antes de despegar. / (Rear up/Trasero arriba) Un caballo levanta el trasero hacia arriba cuando levanta las patas traseras. / (Right pair/Par derecho) El par derecho es la combinación de la pata trasera izquierda y la pata delantera derecha. 
Dictionnary_Article_7		[P-S] (Stride/Zancada) Una zancada es la distancia recorrida por un caballo entre cada tiempo de un trote o un galope. / (Suspension/Suspensión) La suspensión es el período de tiempo durante el cual los cascos del caballo no tocan el suelo, al saltar o en movimiento. 
Dictionnary_Article_8		[T-Z] (Test/Prueba) La prueba se refiere a cada lección o sesión de doma realizada por el caballo y el jinete después de la cual descansan. / (Tether/Amarre) El amarre es una tira de cuero que se utiliza para sujetar un caballo y guiarlo a mano. (Withers/Cruz) La cruz del caballo es una prolongación del cuello y está situada por encima del hombro. 
Dressage_FlyingChange		[Cambio al vuelo] El cambio al vuelo permite al caballo cambiar de dirección al galope durante el periodo de suspensión. El caballo puede despegar de una punta izquierda y aterrizar en una punta derecha, sin cambiar de dirección ni de ritmo. Tanto las patas traseras como las delanteras tienen que cambiar simultáneamente. El cambio en vuelo se utiliza generalmente para cambiar de mano.
Dressage_Gallop		[Galope normal] Es el paso de doma más rápido del caballo, con una velocidad media de 12 a 18 mph; en su forma más rápida, el galope, los caballos pueden llegar a alcanzar velocidades de hasta 40 mph en un hipódromo. El galope es un paso de salto asimétrico, en tres tiempos, seguido de un periodo de proyección. En un galope a la derecha, la secuencia es la siguiente: atrás a la izquierda, diagonal atrás a la derecha y adelante a la izquierda, adelante a la derecha con un periodo de suspensión, antes de la siguiente ráfaga. 
