SymbolID	SubsetID	Text
Flora_Hair_1		Tinte de pelo castaño (+2 pop.)
Flora_Hair_2		Tinte de pelo cobre (+2 pop.)
Flora_Hair_3		Tinte de pelo Auburn (castaño rojizo) (+2 pop.)
Flora_Hair_4		Tinte de pelo azul (+2 pop.)
Flora_Hair_5		Tinte de pelo rubio fresa (+2 pop.)
Flora_Hair_6		Tinte de pelo morado (+2 pop.)
Flora_Hair_7		Tinte de pelo rojo (+2 pop.)
Flora_Hair_8		Tinte de pelo castaño oscuro (+2 pop.)
Flora_Hair_9		Tinte de pelo marrón oscuro (+2 pop.)
Flora_Civil_Top_1		Chaqueta de cuero negra (+2 pop.)
Flora_Civil_Top_2		Chaqueta de tela beige (+2 pop.)
Flora_Civil_Top_3		Chaqueta de tela blanca (+2 pop.)
Flora_Civil_Top_4		Chaqueta de terciopelo naranja (+3 pop.)
Flora_Civil_Top_5		Chaqueta vaquera caqui (+3 pop.)
Flora_Civil_Top_6		Chaqueta deportiva roja (+3 pop.)
Flora_Civil_Top_7		Chaqueta deportiva burdeos (+3 pop.)
Flora_Civil_Top_8		Chaqueta con motivos peruanos (+4 pop.)
Flora_Civil_Top_9		Chaqueta deportiva gris (+4 pop.)
Flora_Civil_Top_10		Jean jacket (Chaqueta vaquera o Chaqueta Jean, EDITAR) (+4 pop.)
Flora_Civil_Top_11		Chaqueta con motivos chinos (+4 pop.)
Flora_Civil_Trouser_1		Stonewashed jeans (EDITAR) (+1 pop.)
Flora_Civil_Trouser_2		Pantalones vaqueros de color azul oscuro (+1 pop.)
Flora_Civil_Trouser_3		Pantalones deportivos de color gris moteado (+2 pop.)
Flora_Civil_Trouser_4		Beige docker (EDITAR) (+2 pop.)
Flora_Civil_Trouser_5		Pantalones grises UrbanStyle (+3 pop.)
Flora_Civil_Trouser_6		Pantalones militares caquis (+3 pop.)
Flora_Civil_Trouser_7		Dark brown docker (EDITAR) (+3 pop.)
Flora_Civil_Trouser_8		Vaqueros tribales (+3 pop.)
Flora_Civil_Trouser_9		Vaqueros con motivos chinos (+4 pop.)
Flora_Civil_Trouser_10		Patchwork jeans (Vaqueros Patchwork, EDITAR) (+4 pop.)
Flora_Civil_Trouser_11		Vaqueros con motivos de margaritas (+4 pop.)
Flora_Civil_Boot_1		Zapatillas deportivas negras (+2 pop.)
Flora_Civil_Boot_2		Zapatos de tenis LadyFashion púrpura (+2 pop.)
Flora_Civil_Boot_3		Zapatos marrones oscuros UrbanStyle (+2 pop.)
Flora_Civil_Boot_4		Zapatillas rojas LadyFashion (+3 pop.)
Flora_Civil_Boot_5		Zapatos beige UrbanStyle (+3 pop.)
Flora_Civil_Boot_6		Zapatillas de tenis amarillas LadyFashion (+3 pop.)
Flora_Civil_Boot_7		Zapatos marrones UrbanStyle (+4 pop.)
Flora_Civil_Boot_8		Zapatillas de tenis azules de entrenamiento (+4 pop.)
Flora_Civil_Boot_9		Zapatillas de entrenamiento de tenis beige (+4 pop.)
Flora_Civil_Boot_10		Zapatillas de tenis rosas LadyFashion (+4 pop.)
Flora_Civil_Boot_11		Glazed LadyFashion tennis shoes (EDITAR) (+4 pop.)
Flora_Cross_Top_1		Chaleco blanco - camisa roja (+3 pop.)
Flora_Cross_Top_2		Chaleco negro - camisa roja (+3 pop.)
Flora_Cross_Top_3		Chaleco negro - camisa blanca (+3 pop.)
Flora_Cross_Top_4		Traje de chaleco - camisa blanca (+3 pop.)
Flora_Cross_Top_5		Chaleco caqui - camisa blanca (+3 pop.)
Flora_Cross_Top_6		Chaleco - camisa deportiva blanca (+3 pop.)
Flora_Cross_Top_7		Chaleco verde oscuro (+3 pop.)
Flora_Cross_Top_8		Chaleco acolchado morado (+3 pop.)
Flora_Cross_Top_9		Chaleco negro - camisa gris oscura (+3 pop.)
Flora_Cross_Top_10		Chaleco beige - camisa gris oscura (+3 pop.)
Flora_Cross_Top_11		Chaleco acolchado rojo (+3 pop.)
Flora_Cross_Top_12		Chaleco negro - a rayas (+3 pop.)
Flora_Cross_Top_13		Chaleco verde oscuro - camisa a rayas (+3 pop.)
Flora_Cross_Top_14		Chaleco rojo - camisa a rayas (+3 pop.)
Flora_Cross_Top_15		Chaleco caqui - camisa a rayas (+3 pop.)
Flora_Cross_Top_16		Chaleco púrpura - camisa a rayas (+3 pop.)
Flora_Cross_Trouser_1		Pantalones campo a través 1 (+2 pop.)
Flora_Cross_Trouser_2		Pantalones campo a través 2 (+2 pop.)
Flora_Cross_Trouser_3		Pantalones campo a través 3 (+2 pop.)
Flora_Cross_Trouser_4		Pantalones campo a través 4 (+2 pop.)
Flora_Cross_Trouser_5		Pantalones campo a través 5 (+2 pop.)
Flora_Cross_Trouser_6		Pantalones campo a través 6 (+2 pop.)
Flora_Cross_Trouser_7		Pantalones campo a través 7 (+2 pop.)
